epoch,step,train_gamma_eff,train_loss,train_loss_kl,train_loss_recon,train_post_mu_0,train_post_mu_1,train_post_mu_2,train_post_mu_3,train_post_mu_4,train_post_mu_5,train_post_mu_6,train_post_mu_7,train_post_sig_0,train_post_sig_1,train_post_sig_2,train_post_sig_3,train_post_sig_4,train_post_sig_5,train_post_sig_6,train_post_sig_7,train_prior_mu_0,train_prior_mu_1,train_prior_mu_2,train_prior_mu_3,train_prior_mu_4,train_prior_mu_5,train_prior_mu_6,train_prior_mu_7,train_prior_sig_0,train_prior_sig_1,train_prior_sig_2,train_prior_sig_3,train_prior_sig_4,train_prior_sig_5,train_prior_sig_6,train_prior_sig_7,val_rank_ic
0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008618514984846115
0,1978,0.4945000112056732,1.3856557607650757,0.05313162878155708,1.3593988418579102,0.1646728664636612,0.11094184219837189,0.042705170810222626,-0.09934239834547043,0.012862823903560638,-0.16603082418441772,-0.19812610745429993,0.21766342222690582,0.7316498756408691,0.6896708607673645,0.8157538771629333,0.7716444134712219,0.6620569229125977,0.6088560223579407,0.7216520309448242,0.6352992057800293,0.14492620527744293,0.1027417704463005,0.03216947987675667,-0.06746307015419006,0.03759356215596199,-0.1233041062951088,-0.13753516972064972,0.15647797286510468,0.7334405779838562,0.7202809453010559,0.7695502042770386,0.779424786567688,0.7091739773750305,0.6838811635971069,0.7629885673522949,0.6868455410003662,
1,3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019005311653017998
1,3957,0.9999416470527649,1.391735553741455,0.052051279693841934,1.3396857976913452,0.14801841974258423,0.12035468220710754,0.0339619405567646,-0.10490043461322784,0.014323112554848194,-0.14148451387882233,-0.18571890890598297,0.1917112171649933,0.7280802726745605,0.690689742565155,0.7978930473327637,0.7597094774246216,0.6711517572402954,0.6250929236412048,0.719694972038269,0.6561707854270935,0.1514047235250473,0.12685710191726685,0.04714508727192879,-0.10535341501235962,0.014251979999244213,-0.1323021948337555,-0.17389033734798431,0.18736283481121063,0.7832861542701721,0.7474655508995056,0.8459877371788025,0.8186931014060974,0.7241533994674683,0.6749889850616455,0.7737401723861694,0.7083321213722229,
2,5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008586598560214043
2,5936,1.0,1.3877050876617432,0.051640626043081284,1.3360645771026611,0.13853749632835388,0.11670930683612823,0.027089694514870644,-0.10626455396413803,0.016860127449035645,-0.12483017146587372,-0.1757543534040451,0.1767011135816574,0.73005610704422,0.6921849846839905,0.7921494245529175,0.7595981955528259,0.6747749447822571,0.6329073905944824,0.7210072875022888,0.6624149084091187,0.1472572535276413,0.1232098713517189,0.0440678745508194,-0.10280758142471313,0.0153877642005682,-0.1170353889465332,-0.16222432255744934,0.17458738386631012,0.7818400859832764,0.7481151223182678,0.8451507091522217,0.8161942362785339,0.723034143447876,0.6798652410507202,0.7734731435775757,0.7144681811332703,
3,7915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01901513896882534
3,7915,1.0,1.3846510648727417,0.0515754371881485,1.3330752849578857,0.1316257119178772,0.1103406623005867,0.02198897860944271,-0.1046975627541542,0.0177775826305151,-0.11826048791408539,-0.16811175644397736,0.17056921124458313,0.7296529412269592,0.6921966671943665,0.7894471883773804,0.7597217559814453,0.6729355454444885,0.6361183524131775,0.7208486795425415,0.6603017449378967,0.13603051006793976,0.11535618454217911,0.03718544915318489,-0.09931717067956924,0.025624742731451988,-0.10769869387149811,-0.16040125489234924,0.16979344189167023,0.7812385559082031,0.7497400045394897,0.8419688940048218,0.8137052655220032,0.7250675559043884,0.6863405108451843,0.7759875059127808,0.7099047303199768,
4,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047260853461921215
4,9894,1.0,1.3815059661865234,0.05197867006063461,1.3295276165008545,0.12352180480957031,0.10687270760536194,0.018396761268377304,-0.1020464077591896,0.021773304790258408,-0.11043678969144821,-0.15864743292331696,0.16458913683891296,0.7273469567298889,0.6912550330162048,0.7864855527877808,0.7564484477043152,0.6688615679740906,0.6391561031341553,0.7193657159805298,0.6583252549171448,0.13211983442306519,0.10683771967887878,0.03650452196598053,-0.09613755345344543,0.02350623533129692,-0.10214635729789734,-0.15400613844394684,0.1641753911972046,0.7791110873222351,0.7502151727676392,0.8364911675453186,0.8122887015342712,0.7259567975997925,0.6888347268104553,0.7757755517959595,0.7085791230201721,
5,11873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01886153593659401
5,11873,1.0,1.3801261186599731,0.052155837416648865,1.3279688358306885,0.11751231551170349,0.10153239220380783,0.012725959531962872,-0.10235588252544403,0.022848589345812798,-0.10659728199243546,-0.15245382487773895,0.15558184683322906,0.7255403399467468,0.6898088455200195,0.7824692130088806,0.7535051703453064,0.6663579940795898,0.641598105430603,0.7171015739440918,0.6567866802215576,0.12094580382108688,0.10168109834194183,0.03275078162550926,-0.09903780370950699,0.019893020391464233,-0.09357369691133499,-0.1424519568681717,0.15356725454330444,0.7773633599281311,0.7482235431671143,0.8311583399772644,0.8107083439826965,0.7236455082893372,0.6935793161392212,0.7752854228019714,0.7070739269256592,
6,13852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014989148825407028
6,13852,1.0,1.3785732984542847,0.05218883231282234,1.3263875246047974,0.11289266496896744,0.09766136854887009,0.01091731432825327,-0.09681107848882675,0.02619115076959133,-0.10330957174301147,-0.1480170637369156,0.15178872644901276,0.7244424223899841,0.6888748407363892,0.7797726988792419,0.7494743466377258,0.6652548909187317,0.6423243880271912,0.7146463394165039,0.6568393111228943,0.11402375251054764,0.0965033546090126,0.032255787402391434,-0.09133271127939224,0.02725384756922722,-0.09433940052986145,-0.13968639075756073,0.14961731433868408,0.7769659757614136,0.7468160390853882,0.8323825001716614,0.8043351769447327,0.7250320315361023,0.6944706439971924,0.7715017795562744,0.7080402970314026,
7,15831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013240840286016464
7,15831,1.0,1.3776969909667969,0.05220134183764458,1.3254951238632202,0.10611219704151154,0.09326080232858658,0.0075305188074707985,-0.09185602515935898,0.027701707556843758,-0.10218019038438797,-0.1445595622062683,0.14370547235012054,0.7227748036384583,0.6890215873718262,0.7776178121566772,0.7479575872421265,0.6648363471031189,0.6445510983467102,0.712894082069397,0.6564825177192688,0.10589192807674408,0.09506762772798538,0.02608717419207096,-0.08744313567876816,0.02153725177049637,-0.08993083983659744,-0.13278524577617645,0.14348946511745453,0.7766414284706116,0.7496434450149536,0.8291162252426147,0.802304208278656,0.7228350043296814,0.6943858861923218,0.769609808921814,0.709256112575531,
8,17810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004603684414178133
8,17810,1.0,1.3766777515411377,0.05220619961619377,1.3244729042053223,0.10129529237747192,0.09027484804391861,0.005479565355926752,-0.08745833486318588,0.02746245637536049,-0.10053640604019165,-0.14175958931446075,0.13926714658737183,0.7205164432525635,0.6885219812393188,0.7757990956306458,0.7444125413894653,0.663585901260376,0.6447539329528809,0.7113996148109436,0.6569934487342834,0.10523825883865356,0.08605681359767914,0.02415313944220543,-0.08213989436626434,0.025490446016192436,-0.09233390539884567,-0.13132792711257935,0.1368325650691986,0.7733924984931946,0.7468044757843018,0.8275169134140015,0.7980876564979553,0.7224719524383545,0.6950804591178894,0.7692628502845764,0.7083444595336914,
9,19789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01741822436451912
9,19789,1.0,1.3756754398345947,0.05218811333179474,1.323487401008606,0.10111315548419952,0.08673930168151855,0.0042144982144236565,-0.08022218197584152,0.030478229746222496,-0.09864144772291183,-0.13905468583106995,0.13818171620368958,0.7193370461463928,0.6897696852684021,0.7743019461631775,0.7433942556381226,0.6644227504730225,0.6448515057563782,0.7101799845695496,0.655619204044342,0.10028961300849915,0.08091428875923157,0.023963550105690956,-0.07203423976898193,0.026476843282580376,-0.08925724029541016,-0.12821117043495178,0.1349354088306427,0.7713793516159058,0.7488358020782471,0.8260019421577454,0.7958240509033203,0.7234118580818176,0.6948290467262268,0.7654314637184143,0.7076024413108826,
10,21768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02014671452343464
10,21768,1.0,1.3746477365493774,0.052264705300331116,1.322382926940918,0.09800567477941513,0.0826377123594284,0.0004158912051934749,-0.0783533826470375,0.03049762174487114,-0.09771134704351425,-0.1362900286912918,0.1319049894809723,0.7179571986198425,0.6897193193435669,0.7733134627342224,0.74005526304245,0.66416996717453,0.6435199975967407,0.7084754109382629,0.6553874015808105,0.09911184757947922,0.08116519451141357,0.018333280459046364,-0.07497966289520264,0.02777201682329178,-0.09041819721460342,-0.12418254464864731,0.12838226556777954,0.7711169123649597,0.7492854595184326,0.824555516242981,0.7935706973075867,0.7213678359985352,0.6939664483070374,0.763664722442627,0.7088502645492554,
11,23747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025098659098148346
11,23747,1.0,1.373661994934082,0.052425213158130646,1.3212380409240723,0.09532992541790009,0.07809432595968246,0.0035275293048471212,-0.07127223163843155,0.032381366938352585,-0.09680915623903275,-0.13475796580314636,0.12243413180112839,0.7158109545707703,0.6900089979171753,0.7710306644439697,0.7373610734939575,0.6632515788078308,0.6425503492355347,0.7073192000389099,0.6568142771720886,0.09344504773616791,0.0793067216873169,0.018061814829707146,-0.06629133224487305,0.028865745291113853,-0.09101192653179169,-0.12340732663869858,0.11331570893526077,0.7653920650482178,0.7474266886711121,0.8208680152893066,0.7899818420410156,0.719843864440918,0.6939230561256409,0.763063371181488,0.7148250937461853,
12,25726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0178212970495224
12,25726,1.0,1.3726615905761719,0.05256132408976555,1.3201005458831787,0.08843530714511871,0.07596443593502045,-0.0026645653415471315,-0.06593568623065948,0.033436354249715805,-0.09876807034015656,-0.13094912469387054,0.11333858221769333,0.7137382626533508,0.6892309188842773,0.7693355083465576,0.7341739535331726,0.6622564196586609,0.6393049955368042,0.7049975991249084,0.6593902111053467,0.08481798321008682,0.07644744217395782,0.011023418046534061,-0.0661495178937912,0.028753558173775673,-0.09484080970287323,-0.11850131303071976,0.11205694824457169,0.7639989256858826,0.7464828491210938,0.819683849811554,0.7877370715141296,0.7229598760604858,0.691880464553833,0.7610185146331787,0.715247392654419,
13,27705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012959652580320835
13,27705,1.0,1.3718085289001465,0.05267365276813507,1.3191375732421875,0.08926127851009369,0.07170173525810242,7.795648707542568e-05,-0.060405440628528595,0.03503286838531494,-0.09780304878950119,-0.12797707319259644,0.11158420145511627,0.7123368382453918,0.689795732498169,0.7677011489868164,0.731632649898529,0.6618832349777222,0.6376013159751892,0.7030288577079773,0.6589688658714294,0.08978046476840973,0.06906302273273468,0.014840207062661648,-0.05727469176054001,0.02950935624539852,-0.09257559478282928,-0.11934211105108261,0.1083284541964531,0.7658509016036987,0.7461411356925964,0.8210260272026062,0.7860826253890991,0.7207391858100891,0.6882547736167908,0.7583367228507996,0.7153202891349792,
14,29684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018773511052131653
14,29684,1.0,1.3709012269973755,0.052711937576532364,1.3181898593902588,0.08699829131364822,0.06767869740724564,-0.0017615475226193666,-0.056999050080776215,0.03523844853043556,-0.09673779457807541,-0.1275838166475296,0.10783987492322922,0.7122541666030884,0.6896381378173828,0.7659315466880798,0.7304665446281433,0.6609470248222351,0.6356502771377563,0.7006652355194092,0.6598533987998962,0.08951207250356674,0.0643177330493927,0.015213888138532639,-0.05446562170982361,0.03477313742041588,-0.09320971369743347,-0.11778697371482849,0.10554780066013336,0.7624600529670715,0.745917558670044,0.8177314400672913,0.7830058336257935,0.7204625606536865,0.6873120069503784,0.7558426856994629,0.714514970779419,
15,31663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012354671023786068
